MOD15A2H.A2000049.h30v12.006.2020041210828.Fpar_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,0.15,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,F,F,F,F,F,F,F,F,F,F,F,0.06,0.06,0.15,0.13,0.13,F,F,F,0.36,F,F,F,F,F,F,F,0.06,0.15,0.23,0.17,0.25,F,0.2,0.36,0.24,0.24,F,F,F,F,F,F,F,F,F,F,0.25,F,0.15,0.29,0.29,0.31,F,F,F,F,F,F,F,0.08,F,F,F,0.25,0.25,0.25,0.29,F,F,F,F,F,F,F,F,F,F,F,0.25,0.25,0.25,0.37,0.42,0.42,0.28,F,F,F,F,F,F,F,F,F,F,0.25,0.35,0.44,0.42,F,F,F,F,F,F,F,F,F,F,0.22,0.23,0.35,0.35,0.35,F,F,F,F,F,F,F,F,F,F,F,0.22,0.22,0.35,0.35,0.35,F,F,0.4,0.4,0.36,F,F,F,F,F,F,0.21,0.35,0.35,0.34,F,F,F,0.47,0.4,F,F,0.38,0.47,0.47,F,0.21,F,0.25,0.28,0.28,F,F,0.44,0.47,0.44,0.31,0.31,F,F,0.47,F,0.22,0.25,F,F,F,0.28,0.29,0.29,0.32,0.35,0.31,0.31,F,F,F,F,F,0.22,0.23,F,F,0.29,0.29,0.29,F,F,F,F,F,F,F,F,F,F,F,F,F,0.29,0.25,0.25,0.39,F,F,F,F,F,0.13,F,F,0.28,0.28,F,0.45,0.45,0.25,0.36,0.36,0.39,F,F,F,0.13,0.13,0.25,0.25,0.25,F,F,F,0.45,0.58,0.59,0.59,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2011001.h30v12.006.2021180083204.Fpar_500m,MOD15A2H,A2011001,Lat-33.6152Lon150.7236Samp17Line17,2021180083204,0.89,0.88,0.89,0.83,0.11,0.11,0.66,F,F,F,0.72,0.67,0.69,F,F,F,0.54,0.88,0.89,0.09,0.73,0.04,0.04,0.04,0.04,F,F,0.73,0.69,F,F,0.66,0.66,F,0.88,0.89,0.75,0.04,0.72,0.04,0.04,0.73,0.04,0.73,0.73,0.72,0.63,0.65,0.71,F,0.64,0.89,0.75,0.69,0.73,0.21,0.04,0.04,F,0.69,F,F,F,F,0.71,0.61,0.47,0.58,0.69,0.69,0.21,0.66,0.68,F,0.68,0.69,F,0.64,0.67,0.65,0.47,0.47,0.54,0.52,F,0.69,0.63,0.66,0.62,0.21,0.09,0.64,0.64,0.64,0.25,0.2,0.2,0.58,0.56,F,F,F,0.63,0.62,0.62,0.24,0.24,0.66,0.24,0.25,0.51,0.48,0.57,0.52,0.56,0.6,0.56,F,F,0.64,0.2,F,0.61,0.23,0.67,F,F,0.48,0.24,0.64,0.52,0.6,0.55,F,F,0.61,0.61,0.22,0.71,0.68,F,0.61,0.22,0.61,0.62,0.65,0.67,0.67,0.14,0.54,0.14,0.14,F,0.63,0.22,0.19,F,0.61,0.52,0.59,0.59,0.65,0.71,0.6,0.6,0.57,0.55,0.6,0.54,0.61,0.22,F,F,0.46,0.48,0.59,0.59,0.61,0.71,0.65,0.62,0.58,0.54,0.58,0.52,0.6,0.58,F,0.44,F,0.52,0.51,0.59,0.57,0.54,0.6,0.51,0.54,0.59,0.6,0.58,F,0.54,F,0.5,0.43,F,F,F,0.47,0.54,0.55,0.57,0.51,0.59,0.53,0.45,0.43,F,F,F,0.41,0.12,0.37,0.53,0.53,0.53,0.52,0.53,0.55,0.52,0.58,0.6,F,F,F,F,F,0.42,0.51,0.47,0.53,0.58,0.56,0.52,0.52,0.59,0.6,F,F,0.5,F,F,0.44,0.46,F,0.49,0.53,0.63,0.64,0.6,0.57,0.57,0.63,0.59,0.54,0.54,0.51,0.47,0.44,0.47,0.54,F,0.61,0.6,0.52,0.52,0.57,0.58,0.56,0.42,0.42,0.54,0.81,0.82,0.83,0.54,0.57,0.36
MOD15A2H.A2011009.h30v12.006.2021180164114.Fpar_500m,MOD15A2H,A2011009,Lat-33.6152Lon150.7236Samp17Line17,2021180164114,F,F,0.88,0.53,0.64,0.59,0.46,0.58,0.58,0.5,0.5,0.47,0.51,0.57,0.67,0.74,0.44,F,F,0.56,0.59,0.59,0.46,0.33,0.33,F,0.52,0.55,0.51,0.57,0.62,0.53,0.49,F,F,0.86,0.52,0.51,0.51,0.54,0.54,0.54,0.61,0.51,0.54,0.54,0.46,0.47,0.48,F,0.55,F,0.5,0.54,0.51,0.51,0.51,F,0.58,0.51,0.55,0.57,0.58,0.55,0.46,0.45,0.45,0.61,0.52,0.52,0.46,0.4,0.45,0.3,0.42,0.56,0.57,0.47,0.46,0.43,F,0.37,0.3,0.43,F,0.37,0.46,0.4,0.45,0.49,0.49,0.46,0.53,0.41,F,F,0.37,0.37,0.32,F,F,F,0.4,0.46,0.46,0.48,0.53,0.38,0.65,0.5,0.36,0.36,0.27,0.23,F,0.13,0.13,F,F,0.44,0.35,0.42,0.46,0.46,0.53,F,F,0.26,0.35,0.35,0.34,0.35,0.22,F,F,0.38,0.46,0.42,0.39,0.39,F,0.41,0.39,0.39,0.37,0.34,0.34,0.35,0.35,0.64,0.64,0.47,0.49,0.36,0.39,0.37,F,0.36,0.31,0.4,0.37,0.34,0.35,0.35,0.64,0.64,0.53,0.64,0.64,0.51,0.35,F,F,0.24,0.34,0.4,0.37,0.37,0.37,0.54,0.55,0.64,0.64,0.64,0.53,0.64,0.36,F,0.31,F,0.33,0.33,0.33,0.32,0.55,0.54,0.55,0.54,0.54,0.54,0.62,F,0.54,F,0.26,0.26,F,F,F,0.6,0.6,0.55,0.54,0.55,0.54,0.54,0.55,0.54,F,F,F,0.2,0.17,0.18,0.35,0.6,0.6,0.6,0.6,0.55,0.54,0.54,0.56,F,F,F,F,F,0.21,0.32,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.56,0.55,F,0.44,F,F,0.44,0.47,F,0.59,0.59,0.58,0.56,0.6,0.6,0.56,0.56,0.55,0.55,0.5,0.5,0.5,0.5,0.55,0.55,F,0.58,0.58,0.59,0.59,0.56,0.56,0.56,0.56,0.56,0.55,0.89,0.88,0.88,0.55,0.55,0.48
MOD15A2H.A2011017.h30v12.006.2021181030626.Fpar_500m,MOD15A2H,A2011017,Lat-33.6152Lon150.7236Samp17Line17,2021181030626,0.79,F,F,F,0.72,0.69,0.58,0.71,0.72,0.71,0.68,0.66,0.63,0.7,0.66,0.75,0.52,F,F,0.69,0.6,0.69,0.74,0.72,0.68,0.65,0.66,0.64,0.63,0.7,0.76,0.61,0.56,F,0.78,0.84,0.67,0.74,0.69,0.68,0.66,0.66,0.74,0.64,0.65,0.72,0.6,0.57,0.69,F,0.54,0.79,0.68,0.68,0.63,0.7,0.71,0.68,0.74,0.65,0.65,0.7,0.75,0.64,0.51,0.55,0.42,0.59,0.66,0.6,0.71,0.62,0.67,0.68,0.63,0.64,0.71,0.57,0.52,0.63,0.49,0.54,0.54,0.51,F,0.63,0.71,0.62,0.77,0.64,0.69,0.63,0.63,0.59,0.67,0.56,0.59,0.59,0.55,F,F,F,0.64,0.68,0.68,0.69,0.71,0.6,0.66,0.74,0.45,0.46,0.58,0.55,0.55,0.56,0.57,F,F,0.63,0.65,0.67,0.5,0.72,0.65,F,F,0.44,0.56,0.57,0.5,0.56,0.47,F,F,0.52,0.55,0.66,0.65,0.57,F,0.56,0.54,0.47,0.55,0.58,0.67,0.65,0.59,0.58,0.58,0.7,0.67,0.5,0.64,0.59,F,0.51,0.47,0.47,0.51,0.65,0.65,0.59,0.64,0.58,0.51,0.7,0.67,0.63,0.56,F,F,0.4,0.45,0.51,0.54,0.62,0.6,0.59,0.54,0.56,0.59,0.63,0.55,0.67,0.58,F,0.4,F,0.44,0.46,0.38,0.43,0.47,0.59,0.45,0.45,0.51,0.56,0.56,F,0.41,F,0.37,0.4,F,F,F,0.52,0.47,0.47,0.49,0.39,0.46,0.48,0.41,0.46,F,F,F,0.3,0.33,0.33,0.55,0.52,0.52,0.52,0.6,0.5,0.51,0.59,0.41,F,F,F,F,F,0.48,0.59,0.55,0.62,0.55,0.63,0.62,0.54,0.51,0.54,0.58,F,0.38,F,F,0.42,0.4,F,0.41,0.48,0.65,0.63,0.63,0.48,0.55,0.55,0.55,0.47,0.4,0.41,0.41,0.42,0.36,0.46,F,0.67,0.65,0.58,0.56,0.6,0.59,0.63,0.33,0.39,0.45,0.73,0.73,0.73,0.39,0.48,0.64
MOD15A2H.A2011025.h30v12.006.2021181161718.Fpar_500m,MOD15A2H,A2011025,Lat-33.6152Lon150.7236Samp17Line17,2021181161718,0.88,0.88,0.88,0.76,0.75,0.73,0.67,0.78,0.72,0.72,0.72,0.72,0.7,0.69,0.75,0.75,0.55,0.88,0.88,0.8,0.75,0.68,0.78,0.74,0.73,0.72,0.72,0.73,0.72,0.74,0.68,0.66,0.61,F,0.87,0.89,0.79,0.74,0.75,0.76,0.71,0.75,0.74,0.74,0.73,0.76,0.69,0.66,0.69,F,0.61,0.88,0.75,0.76,0.75,0.76,0.74,0.74,0.62,0.68,0.74,0.74,0.68,0.75,0.64,0.57,0.47,0.55,0.72,0.73,0.75,0.75,0.7,0.69,0.7,0.71,0.74,0.66,0.69,0.78,0.51,0.54,0.56,0.54,F,0.73,0.69,0.66,0.68,0.69,0.63,0.66,0.61,0.62,0.71,0.56,0.51,0.48,0.55,F,F,F,0.72,0.69,0.63,0.64,0.65,0.7,0.75,0.63,0.49,0.54,0.52,0.61,0.65,0.6,0.56,F,F,0.69,0.66,0.69,0.64,0.72,0.68,F,F,0.54,0.7,0.64,0.64,0.67,0.54,F,F,0.58,0.51,0.68,0.71,0.66,F,0.67,0.59,0.64,0.66,0.62,0.69,0.67,0.61,0.51,0.54,0.57,0.67,0.69,0.63,0.55,F,0.68,0.62,0.6,0.65,0.7,0.73,0.74,0.65,0.62,0.56,0.65,0.67,0.57,0.57,F,F,0.43,0.58,0.64,0.59,0.7,0.73,0.72,0.67,0.59,0.57,0.6,0.63,0.65,0.58,F,0.35,F,0.54,0.57,0.59,0.56,0.59,0.64,0.51,0.57,0.63,0.66,0.63,F,0.51,F,0.5,0.58,F,F,F,0.5,0.5,0.55,0.6,0.51,0.63,0.61,0.43,0.47,F,F,F,0.36,0.4,0.35,0.47,0.54,0.53,0.52,0.47,0.47,0.57,0.57,0.48,F,F,F,F,F,0.52,0.55,0.47,0.55,0.65,0.58,0.6,0.47,0.61,0.59,0.55,F,0.45,F,F,0.45,0.42,F,0.51,0.55,0.65,0.68,0.61,0.59,0.59,0.56,0.55,0.52,0.47,0.51,0.5,0.57,0.45,0.47,F,0.65,0.63,0.52,0.57,0.45,0.59,0.56,0.54,0.46,0.54,0.82,0.71,0.72,0.54,0.54,0.54
MOD15A2H.A2011033.h30v12.006.2021182045444.Fpar_500m,MOD15A2H,A2011033,Lat-33.6152Lon150.7236Samp17Line17,2021182045444,F,0.88,0.9,0.64,0.7,0.72,0.58,0.69,0.71,0.67,0.66,0.66,0.6,0.59,0.61,0.6,0.48,0.9,0.9,0.71,0.64,0.71,0.72,0.7,0.66,0.53,0.45,0.66,0.66,0.49,0.49,0.51,0.46,F,0.9,0.9,0.73,0.63,0.59,0.64,0.64,0.61,0.64,0.66,0.45,0.45,0.53,0.53,0.63,F,0.6,0.9,0.73,0.67,0.63,0.63,0.63,0.62,0.64,0.64,0.69,0.43,0.43,0.59,0.59,0.59,0.43,0.52,0.67,0.59,0.53,0.68,0.55,0.45,0.42,0.42,0.42,0.38,0.38,0.55,0.53,0.53,0.47,0.43,F,0.54,0.55,0.55,0.55,0.48,0.6,0.53,0.53,0.53,0.42,0.49,0.45,0.43,0.47,F,F,F,0.65,0.61,0.46,0.52,0.47,0.38,0.52,0.32,0.49,0.28,0.27,0.5,0.53,0.49,0.35,F,F,0.59,0.59,0.59,0.54,0.57,0.38,F,F,0.43,0.38,0.6,0.49,0.49,0.49,F,F,0.45,0.39,0.61,0.61,0.61,F,0.46,0.49,0.54,0.61,0.6,0.6,0.3,0.19,0.3,0.39,0.53,0.25,0.61,0.63,0.63,F,0.44,0.53,0.56,0.58,0.59,0.33,0.23,F,0.3,0.43,0.42,0.38,0.43,0.52,F,F,0.44,0.54,0.59,0.49,0.17,0.17,0.14,0.57,0.57,0.48,0.48,0.43,0.51,0.53,F,0.39,F,0.5,0.47,0.49,0.49,0.49,0.49,0.49,0.53,0.5,0.51,0.48,F,0.49,F,0.47,0.49,F,F,F,0.49,0.45,0.49,0.52,0.51,0.52,0.52,0.4,0.51,F,F,F,0.29,0.37,0.29,0.44,0.49,0.45,0.45,0.38,0.43,0.45,0.48,0.47,F,F,F,F,F,0.51,0.32,0.44,0.49,0.49,0.52,0.51,0.4,0.34,0.47,0.51,F,0.48,F,F,0.36,0.36,F,0.4,0.49,0.52,0.52,0.52,0.51,0.49,0.34,0.48,0.45,0.49,0.53,0.5,0.51,0.49,0.44,F,0.45,0.52,0.53,0.49,0.49,0.49,0.48,0.48,0.48,0.5,0.87,0.88,0.77,0.54,0.53,0.51
MOD15A2H.A2011041.h30v12.006.2021182130352.Fpar_500m,MOD15A2H,A2011041,Lat-33.6152Lon150.7236Samp17Line17,2021182130352,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.46,F,F,F,F,F,F,F,F,F,F,F,0.39,0.62,0.51,0.5,0.44,0.44,F,F,F,F,F,F,F,F,F,0.3,0.46,0.62,0.48,0.39,0.47,0.53,0.45,F,F,F,F,F,F,F,F,0.35,0.48,F,F,0.38,0.32,0.25,0.48,0.37,F,F,F,F,F,0.2,0.25,0.33,0.26,F,F,0.34,0.3,0.3,F,0.21,F,F,0.16,F,F,F,0.25,F,F,F,F,F,0.3,F,F,F,F,F,0.28,0.14,0.24,0.25,F,F,F,F,F,F,F,F,F,F,F,F,F,0.15,0.33,0.21,0.19,F,F,F,F,F,F,F,F,0.3,F,F,F,0.21,F,F,F,F,F,F,F,F,0.21,0.22,0.28,0.3,F,F,0.16,F,F,F,F,F,F,F,F,0.25,0.28,0.21,0.22,0.27,0.27,F,F,F,F,F
MOD15A2H.A2011049.h30v12.006.2021183000325.Fpar_500m,MOD15A2H,A2011049,Lat-33.6152Lon150.7236Samp17Line17,2021183000325,F,0.81,F,0.65,0.68,0.68,0.47,0.6,0.66,0.62,0.6,0.58,0.64,0.59,0.53,0.48,0.42,0.88,0.88,0.67,0.56,0.64,0.67,0.64,0.61,0.62,0.6,0.56,0.54,0.6,0.58,0.49,0.42,F,F,0.82,0.63,0.64,0.59,0.64,0.61,0.61,0.58,0.53,0.53,0.59,0.44,0.49,0.62,F,0.45,0.78,0.59,0.59,0.58,0.62,0.62,0.57,0.58,0.54,0.62,0.6,0.61,0.64,0.53,0.5,0.37,0.51,0.59,0.59,0.72,0.56,0.63,0.61,0.6,0.62,0.82,0.68,0.57,0.61,0.38,0.44,0.48,0.51,F,0.61,0.61,0.48,0.5,0.57,0.64,0.53,0.67,0.57,0.5,0.39,0.5,0.45,0.48,F,F,F,0.56,0.63,0.57,0.6,0.59,0.67,0.71,0.59,0.53,0.45,0.42,0.45,0.49,0.53,0.46,F,F,0.6,0.5,0.6,0.49,0.5,0.62,F,F,0.45,0.57,0.54,0.48,0.56,0.47,F,F,0.44,0.65,0.55,0.63,0.72,F,0.53,0.5,0.5,0.5,0.53,0.47,0.5,0.57,0.45,0.48,0.48,0.91,0.47,0.72,0.59,F,0.46,0.46,0.46,0.5,0.56,0.59,0.55,0.57,0.51,0.43,0.42,0.44,0.4,0.42,F,F,0.38,0.42,0.48,0.44,0.51,0.59,0.61,0.54,0.44,0.35,0.34,0.6,0.45,0.53,F,0.4,F,0.46,0.37,0.44,0.44,0.44,0.46,0.36,0.42,0.42,0.48,0.67,F,0.46,F,0.47,0.47,F,F,F,0.37,0.39,0.4,0.45,0.37,0.43,0.48,0.39,0.39,F,F,F,0.38,0.25,0.2,0.34,0.42,0.38,0.38,0.39,0.45,0.43,0.45,0.94,F,F,F,F,F,0.43,0.41,0.33,0.39,0.52,0.44,0.39,0.38,0.47,0.94,0.51,F,0.38,F,F,0.33,0.33,F,0.34,0.39,0.51,0.5,0.5,0.39,0.44,0.61,0.61,0.41,0.38,0.35,0.38,0.37,0.37,0.4,F,0.45,0.51,0.39,0.39,0.39,0.6,0.4,0.44,0.35,0.42,0.79,0.79,0.69,0.45,0.4,0.44
MOD15A2H.A2011057.h30v12.006.2021183120916.Fpar_500m,MOD15A2H,A2011057,Lat-33.6152Lon150.7236Samp17Line17,2021183120916,0.87,0.88,0.88,0.69,0.73,0.71,0.66,0.68,0.72,0.7,0.7,0.69,0.65,0.65,0.57,0.56,0.5,0.89,0.89,0.76,0.77,0.71,0.73,0.71,0.71,0.66,0.76,0.66,0.63,0.65,0.59,0.5,0.48,F,0.89,0.89,0.77,0.7,0.71,0.69,0.71,0.68,0.76,0.68,0.66,0.68,0.52,0.52,0.64,F,0.69,0.89,0.71,0.72,0.7,0.69,0.68,0.65,0.69,0.64,0.67,0.63,0.67,0.69,0.83,0.59,0.49,0.6,0.71,0.69,0.7,0.63,0.75,0.71,0.71,0.67,0.67,0.58,0.59,0.61,0.6,0.52,0.52,0.51,F,0.69,0.69,0.62,0.55,0.64,0.63,0.55,0.61,0.58,0.58,0.53,0.38,0.47,0.52,F,F,F,0.65,0.57,0.65,0.63,0.63,0.52,0.79,0.65,0.51,0.53,0.52,0.47,0.57,0.55,0.51,F,F,0.67,0.6,0.63,0.53,0.62,0.57,F,F,0.59,0.61,0.66,0.55,0.58,0.53,F,F,0.44,0.69,0.68,0.55,0.67,F,0.58,0.57,0.61,0.6,0.6,0.59,0.59,0.6,0.54,0.5,0.57,0.51,0.58,0.66,0.53,F,0.53,0.53,0.59,0.6,0.65,0.65,0.59,0.62,0.51,0.4,0.44,0.51,0.44,0.46,F,F,0.38,0.52,0.54,0.47,0.65,0.65,0.66,0.57,0.49,0.46,0.44,0.41,0.48,0.58,F,0.38,F,0.56,0.47,0.53,0.53,0.47,0.64,0.6,0.54,0.5,0.52,0.54,F,0.55,F,0.45,0.5,F,F,F,0.46,0.42,0.44,0.49,0.45,0.56,0.59,0.46,0.39,F,F,F,0.4,0.29,0.43,0.41,0.46,0.46,0.47,0.42,0.49,0.52,0.54,0.58,F,F,F,F,F,0.58,0.58,0.4,0.41,0.52,0.53,0.46,0.42,0.54,0.52,0.53,F,0.46,F,F,0.4,0.38,F,0.38,0.46,0.54,0.59,0.59,0.51,0.54,0.6,0.53,0.52,0.49,0.52,0.56,0.51,0.38,0.54,F,0.67,0.67,0.49,0.48,0.47,0.43,0.57,0.6,0.4,0.52,0.78,0.81,0.83,0.49,0.52,0.53
MOD15A2H.A2011065.h30v12.006.2021184051807.Fpar_500m,MOD15A2H,A2011065,Lat-33.6152Lon150.7236Samp17Line17,2021184051807,0.89,0.89,0.79,0.48,0.72,0.69,0.54,0.65,0.72,0.68,0.62,0.64,0.64,0.63,0.45,0.38,0.31,F,0.75,0.51,0.6,0.68,0.69,0.7,0.7,0.65,0.65,0.65,0.46,0.45,0.45,0.41,0.39,F,0.77,0.78,0.67,0.68,0.69,0.67,0.69,0.66,0.57,0.45,0.46,0.48,0.39,0.39,0.38,F,0.47,F,0.67,0.67,0.66,0.64,0.66,0.52,0.57,0.45,0.45,0.46,0.53,0.53,0.42,0.52,0.39,0.44,0.67,0.65,0.65,0.58,0.52,0.52,0.47,0.47,0.55,0.44,0.58,0.49,0.52,0.45,0.43,0.39,F,0.65,0.65,0.53,0.52,0.48,0.47,0.38,0.44,0.48,0.52,0.36,0.45,0.46,0.44,F,F,F,0.65,0.53,0.49,0.48,0.48,0.41,0.52,0.52,0.48,0.49,0.52,0.45,0.5,0.49,0.49,F,F,0.37,0.38,0.48,0.38,0.43,0.55,F,F,0.46,0.59,0.48,0.46,0.47,0.43,F,F,0.4,0.6,0.6,0.46,0.46,F,0.67,0.52,0.43,0.53,0.6,0.48,0.48,0.46,0.46,0.4,0.52,0.49,0.46,0.48,0.63,F,0.39,0.42,0.58,0.53,0.6,0.5,0.48,0.56,0.48,0.39,0.39,0.49,0.32,0.58,F,F,0.39,0.48,0.58,0.49,0.54,0.45,0.45,0.56,0.48,0.36,0.39,0.32,0.39,0.43,F,0.39,F,0.48,0.39,0.38,0.42,0.42,0.45,0.4,0.48,0.36,0.36,0.39,F,0.34,F,0.36,0.36,F,F,F,0.37,0.45,0.35,0.36,0.31,0.35,0.46,0.47,0.44,F,F,F,0.36,0.39,0.21,0.35,0.31,0.45,0.33,0.31,0.35,0.35,0.46,0.42,F,F,F,F,F,0.44,0.25,0.38,0.31,0.48,0.48,0.34,0.34,0.37,0.42,0.45,F,0.33,F,F,0.28,0.33,F,0.38,0.48,0.5,0.51,0.4,0.36,0.34,0.47,0.56,0.4,0.45,0.45,0.28,0.47,0.33,0.37,F,0.39,0.39,0.48,0.48,0.36,0.44,0.41,0.34,0.35,0.52,0.78,0.7,0.69,0.38,0.36,0.36
MOD15A2H.A2011073.h30v12.006.2021185050156.Fpar_500m,MOD15A2H,A2011073,Lat-33.6152Lon150.7236Samp17Line17,2021185050156,0.88,0.89,0.89,0.7,0.72,0.65,0.55,0.63,0.71,0.66,0.65,0.65,0.66,0.66,0.59,0.52,0.43,0.89,0.89,0.72,0.69,0.71,0.71,0.7,0.7,0.66,0.65,0.65,0.65,0.62,0.58,0.47,0.43,F,0.88,0.88,0.73,0.69,0.69,0.7,0.7,0.65,0.65,0.65,0.65,0.62,0.5,0.51,0.62,F,0.54,0.88,0.71,0.7,0.7,0.65,0.65,0.64,0.62,0.65,0.65,0.61,0.66,0.65,0.53,0.52,0.45,0.59,0.71,0.69,0.69,0.63,0.6,0.66,0.65,0.63,0.67,0.59,0.6,0.54,0.49,0.48,0.54,0.5,F,0.69,0.66,0.59,0.59,0.61,0.61,0.51,0.59,0.6,0.7,0.44,0.51,0.51,0.48,F,F,F,0.66,0.56,0.59,0.61,0.63,0.6,0.71,0.6,0.44,0.5,0.5,0.46,0.56,0.56,0.48,F,F,0.6,0.52,0.63,0.57,0.63,0.61,F,F,0.49,0.64,0.64,0.53,0.58,0.5,F,F,0.47,0.64,0.64,0.58,0.71,F,0.56,0.54,0.54,0.63,0.6,0.57,0.56,0.56,0.56,0.48,0.51,0.52,0.67,0.58,0.59,F,0.58,0.49,0.56,0.59,0.63,0.65,0.6,0.6,0.54,0.43,0.51,0.47,0.42,0.6,F,F,0.4,0.54,0.56,0.52,0.6,0.6,0.59,0.5,0.55,0.47,0.37,0.32,0.45,0.55,F,0.46,F,0.54,0.51,0.51,0.48,0.47,0.59,0.5,0.55,0.59,0.59,0.51,F,0.58,F,0.46,0.48,F,F,F,0.48,0.47,0.47,0.51,0.46,0.51,0.51,0.47,0.44,F,F,F,0.42,0.28,0.3,0.37,0.46,0.46,0.46,0.47,0.51,0.51,0.49,0.47,F,F,F,F,F,0.28,0.49,0.42,0.42,0.53,0.52,0.47,0.46,0.51,0.52,0.55,F,0.39,F,F,0.39,0.4,F,0.4,0.47,0.59,0.59,0.59,0.54,0.54,0.55,0.54,0.54,0.54,0.55,0.55,0.39,0.4,0.52,F,0.52,0.59,0.51,0.51,0.51,0.53,0.56,0.47,0.46,0.6,0.81,0.81,0.81,0.55,0.55,0.52
MOD15A2H.A2011081.h30v12.006.2021185152641.Fpar_500m,MOD15A2H,A2011081,Lat-33.6152Lon150.7236Samp17Line17,2021185152641,0.88,0.89,0.89,0.72,0.76,0.76,0.58,0.73,0.76,0.71,0.73,0.7,0.65,0.71,0.63,0.57,0.49,0.88,0.88,0.78,0.7,0.75,0.75,0.74,0.76,0.71,0.64,0.64,0.68,0.7,0.63,0.51,0.45,F,0.88,0.88,0.72,0.71,0.71,0.74,0.75,0.62,0.63,0.72,0.74,0.7,0.53,0.59,0.68,F,0.58,0.87,0.75,0.71,0.71,0.68,0.63,0.61,0.61,0.67,0.74,0.6,0.61,0.65,0.55,0.63,0.49,0.57,0.75,0.72,0.72,0.68,0.65,0.7,0.67,0.67,0.72,0.59,0.63,0.6,0.48,0.57,0.52,0.59,F,0.71,0.71,0.64,0.6,0.7,0.67,0.57,0.59,0.49,0.64,0.5,0.5,0.48,0.58,F,F,F,0.65,0.57,0.58,0.65,0.71,0.65,0.67,0.6,0.48,0.48,0.51,0.48,0.58,0.56,0.5,F,F,0.58,0.59,0.66,0.56,0.64,0.58,F,F,0.48,0.61,0.68,0.56,0.56,0.51,F,F,0.49,0.74,0.65,0.55,0.76,F,0.56,0.57,0.59,0.57,0.68,0.6,0.56,0.58,0.54,0.53,0.55,0.57,0.68,0.47,0.63,F,0.56,0.54,0.56,0.6,0.65,0.69,0.62,0.61,0.55,0.51,0.55,0.55,0.47,0.67,F,F,0.45,0.54,0.59,0.55,0.6,0.64,0.6,0.61,0.55,0.46,0.45,0.43,0.48,0.55,F,0.46,F,0.52,0.53,0.52,0.48,0.47,0.6,0.51,0.53,0.55,0.59,0.51,F,0.55,F,0.42,0.46,F,F,F,0.49,0.47,0.47,0.54,0.47,0.56,0.51,0.48,0.5,F,F,F,0.38,0.34,0.4,0.46,0.49,0.5,0.49,0.49,0.53,0.56,0.51,0.53,F,F,F,F,F,0.51,0.48,0.45,0.46,0.51,0.59,0.54,0.51,0.53,0.54,0.6,F,0.49,F,F,0.4,0.4,F,0.42,0.51,0.64,0.59,0.6,0.54,0.57,0.59,0.58,0.53,0.5,0.49,0.51,0.49,0.52,0.5,F,0.64,0.64,0.55,0.54,0.54,0.51,0.53,0.5,0.49,0.55,0.81,0.81,0.8,0.52,0.53,0.56
